Theta	Phi	Total-adj
26	6	-11.48594675
27	6	-7.545998205
28	6	-12.84356326
29	6	-7.071844673
30	6	-5.491303771
31	6	-8.835077423
32	6	-4.849165792
33	6	-4.028752045
34	6	-8.160532272
35	6	-2.227874344
36	6	-0.156967144
37	6	3.618396527
38	6	3.062212463
39	6	0.999049744
40	6	2.039450099
41	6	0.284521121
42	6	-1.623526313
43	6	-0.108522373
44	6	-0.221276164
45	6	4.18006615
46	6	-2.065908885
47	6	-0.399503477
48	6	-1.883347964
49	6	0.17076985
50	6	-0.240972307
51	6	-0.394230644
52	6	-1.167436834
53	6	-0.974992355
54	6	-2.278700043
55	6	-0.421025103
56	6	0.140505737
57	6	5.760005105
58	6	-0.617641852
59	6	0.2495625
60	6	1.573008021
61	6	2.387196274
62	6	1.028919061
63	6	0.090216823
64	6	-0.11816461
65	6	1.467713229
66	6	2.906853175
67	6	2.418288981
68	6	0.359215541
69	6	-1.482757927
70	6	-1.743373579
71	6	-4.619842374
72	6	0.629291427
73	6	2.6223787
74	6	2.755114683
75	6	2.33348623
76	6	2.765266019
77	6	-2.197919849
78	6	1.713479278
79	6	0.824726491
80	6	-0.981594923
81	6	0.922049889
82	6	0.080777125
83	6	2.760435837
84	6	4.692880297
85	6	1.552601093
86	6	-1.469612183
87	6	-0.960126637
88	6	-8.464702811
89	6	-13.76051997
90	6	-19.73572874
91	6	-19.83900622
92	6	-21.69376892
93	6	-15.30412753
94	6	-8.25940779
95	6	-12.1618453
96	6	-16.41994379
97	6	-23.71996492
98	6	-12.91398428
99	6	-9.073688769
100	6	-11.25072749
101	6	-7.077872774
102	6	-8.110287992
103	6	-9.252070841
104	6	2.222864395
105	6	0.809534332
106	6	-0.18670831
107	6	-0.299128204
108	6	1.785270082
109	6	5.388641187
110	6	2.103882971
111	6	1.149968173
112	6	-5.361150509
113	6	-0.6570724
114	6	-2.63970831
115	6	2.099934678
116	6	-1.287997058
117	6	0.500296238
118	6	0.765829195
119	6	3.203285263
120	6	4.343138266
121	6	1.30159273
122	6	-3.858799679
123	6	-3.421522109
124	6	-3.191082179
125	6	0.527052086
126	6	-1.259432384
127	6	-3.260769881
128	6	3.976077844
129	6	1.905267255
130	6	-0.649717233
131	6	-0.349574131
132	6	2.02839393
133	6	1.606502562
134	6	-2.475796559
135	6	0.105521714
136	6	-8.082664832
137	6	-7.320393671
138	6	-7.71661621
139	6	-6.88941227
140	6	-7.790873708
141	6	-2.679873391
142	6	-0.33771507
143	6	0.351071083
144	6	0.032677818
145	6	0.90002415
146	6	-3.151616404
147	6	0.332033356
148	6	0.898718746
149	6	0.213137947
150	6	2.181993781
151	6	5.302261522
152	6	-3.461221018
153	6	0.922619908
154	6	0.19635562
155	6	0.877052086
156	6	3.041747864
157	6	2.887541794
158	6	-1.799790709
159	6	0.558508977
160	6	-6.526732287
161	6	-5.758112596
162	6	-7.426327202
163	6	-10.60239646
164	6	-4.855419213
165	6	-4.514987857
166	6	-3.85940455
167	6	-3.176407812
168	6	-5.325401408
169	6	-12.85477748
170	6	-8.072987571
171	6	-7.362447328
172	6	-4.545953305
173	6	-7.539728573
174	6	-7.949974863
175	6	-4.801188359
176	6	-6.857631821
177	6	-8.847678965
178	6	-0.38238279
179	6	2.629934133
180	6	2.089084447
0	7	-1.896028482
1	7	-2.240946192
2	7	-3.066910194
3	7	-0.115387087
4	7	-1.045215148
5	7	-5.316394723
6	7	-9.807583381
7	7	-10.42498856
8	7	-8.400553898
9	7	-3.20242375
10	7	-18.73485067
11	7	-10.41424908
12	7	-10.78704339
13	7	-8.657396054
14	7	-10.3646804
15	7	5.045686296
16	7	1.18471027
17	7	3.468317393
18	7	4.007169172
19	7	2.504361157
20	7	-2.25155785
21	7	-2.51687423
22	7	-8.251720241
23	7	-10.13535894
24	7	-11.26738809
25	7	-7.196939795
26	7	-20.91979447
27	7	-9.621400786
28	7	-14.06909477
29	7	-12.23115052
30	7	-9.047506895
31	7	-8.392541179
32	7	-1.373513469
33	7	-5.722234108
34	7	0.660778258
35	7	-2.449046664
36	7	-2.874829091
37	7	-0.759991389
38	7	1.600566971
39	7	3.862064146
40	7	1.678429687
41	7	-1.565589781
42	7	-3.300130391
43	7	-0.186961701
44	7	-1.193131875
45	7	-0.380186251
46	7	-1.05119939
47	7	2.631140303
48	7	-0.312573416
49	7	0.238584345
50	7	-0.962957083
51	7	1.333599852
52	7	0.63298541
53	7	-0.834010959
54	7	-0.512278209
55	7	-2.458884063
56	7	-0.965432945
57	7	-2.436513475
58	7	2.018742469
59	7	0.194970421
60	7	-2.200051936
61	7	-1.955512912
62	7	1.196476236
63	7	2.655834909
64	7	4.567965803
65	7	0.915010867
66	7	0.875722924
